2c486668-3d81-4e89-9e8f-3cd166ba0313,fix-eslint-issues,done,,20250117-1440-fix-eslint-issues.md
550e8400-e29b-41d4-a716-446655440001,Implement task tracking CSV system,done,,20250110-1430-implement-task-tracking-csv.md
550e8400-e29b-41d4-a716-446655440002,Update CLAUDE.md with task tracking rules,done,550e8400-e29b-41d4-a716-446655440001,20250110-1435-update-claude-md-task-tracking.md
550e8400-e29b-41d4-a716-446655440003,Add date-timestamp to spec file naming convention,done,,20250110-1440-update-spec-naming-convention.md
550e8400-e29b-41d4-a716-446655440004,Add Beta Task Rules section to CLAUDE.md,done,,20250110-1450-add-beta-task-rules.md
550e8400-e29b-41d4-a716-446655440005,Add TodoWrite/TodoRead hooks to settings.json,done,,20250110-1455-add-todo-hooks-settings.md
550e8400-e29b-41d4-a716-446655440006,Initialize bun project,done,,20250110-1500-initialize-bun-project.md
550e8400-e29b-41d4-a716-446655440007,Create .gitignore for bun TypeScript project,done,,20250110-1505-create-gitignore.md
550e8400-e29b-41d4-a716-446655440008,Update project structure to colocate tests,done,,20250110-1510-update-project-structure-tests.md
550e8400-e29b-41d4-a716-446655440009,Add zod and vite dependencies,done,,20250110-1515-add-zod-vite-dependencies.md
550e8400-e29b-41d4-a716-446655440010,Implement TDD enforcement rules,done,,20250110-1520-implement-tdd-enforcement.md
550e8400-e29b-41d4-a716-446655440011,Install dependencies for config files,done,,20250110-1530-install-config-dependencies.md
550e8400-e29b-41d4-a716-446655440012,Create unified LLM library proposal,done,,20250110-1540-create-llm-library-proposal.md
550e8400-e29b-41d4-a716-446655440013,Design provider-specific type system,done,,20250110-1550-provider-type-system.md
550e8400-e29b-41d4-a716-446655440014,Define provider interface,done,,20250110-1600-define-provider-interface.md
550e8400-e29b-41d4-a716-446655440015,Implement basic OpenAI provider,done,550e8400-e29b-41d4-a716-446655440014,20250110-1605-implement-openai-provider.md
550e8400-e29b-41d4-a716-446655440016,Build schema validation system,done,550e8400-e29b-41d4-a716-446655440014,20250110-1610-build-schema-validation.md
550e8400-e29b-41d4-a716-446655440017,Implement Anthropic provider,done,550e8400-e29b-41d4-a716-446655440014,20250112-1700-implement-anthropic-provider.md
550e8400-e29b-41d4-a716-446655440018,Implement Gemini provider,done,550e8400-e29b-41d4-a716-446655440014,20250112-1730-implement-gemini-provider.md
0739e778-7e9b-4628-9d9d-013f0d450e7a,Fix TypeScript type errors in providers,done,,20250712-2050-fix-typescript-errors.md
7a7a7c03-3452-4350-a9b6-90a4aabf31a7,Fix remaining TypeScript errors,done,,20250713-1254-fix-remaining-typescript-errors.md
1AFC9A19-E31D-429E-8A06-0760B8583235,Implement streaming with partial validation,done,,20250713-1401-implement-streaming-validation.md
969DF37C-EAC7-4C47-8DA3-8B44EC03B80D,Implement Anthropic thinking tokens feature,done,,20250713-1432-implement-anthropic-thinking.md
EF819A2F-6FB8-436B-B701-C3A204F412AE,Fix Zod v4 schema conversion error,done,,20250714-1520-fix-zod-v4-schema-error.md
EBB5A504-4938-4B1F-8379-2F76FC65B5CB,Refactor structured output to use forced tool calling,done,,20250714-1545-refactor-structured-output-tool-calling.md
45b72986-9732-485f-98f2-23c9a8fb602d,Implement retry support and error handling,done,,20250715-1200-implement-retry-error-handling.md
8c794c24-9f1d-4894-9a6d-d789884195ad,Implement list models functionality,done,,20250715-1530-implement-list-models.md
661AFC79-BEC2-4737-BAB3-A9C5D3AE6F5E,Generate TypeScript types from model lists,done,,20250716-1045-generate-model-types.md
AC850E13-C6FF-46FC-B382-B7BB5A25E647,Export client option types for better DX,done,,20250716-1115-export-client-option-types.md
7F13C5F5-F12A-4C86-A6DC-6FE9543948BA,Update providers to use typed model names,done,,20250716-1130-typed-model-providers.md
EF46C5C9-AAE1-4222-99B2-3B12F5D932D3,Fix circular dependencies and type performance,done,,20250716-1200-fix-circular-deps-performance.md
2c486668-3d81-4e89-9e8f-3cd166ba0313,fix-eslint-issues,done,,20250117-1440-fix-eslint-issues.md
3949FB4A-B07E-4DD4-8647-15C58EA0C4DA,Fix typecheck errors in test files,done,,20250724-1221-fix-typecheck-errors-tests.md
389F2B55-2430-4507-A474-B29B6491DD86,Add JSON Schema support to all providers,done,,20250806-1143-add-json-schema-support.md
492FAE27-7DD8-45A8-9601-0DCBC5E7BC69,Support both typed and untyped JSON schemas,done,,20250806-1223-support-typed-json-schemas.md
ACF50567-EE08-4406-8246-DB170CC25C2D,Implement Winston logging system,done,,20250807-1437-implement-winston-logging.md
B7E8F9A0-1B2C-3D4E-5F67-8G9H0I1J2K3L,Implement generic API alongside type-safe API,done,,20250808-1441-implement-generic-api.md
C8F9G0A1-2C3D-4E5F-6G78-9H0I1J2K3L4M,Fix ESLint errors in generic-client.ts,done,,20250808-1510-fix-generic-client-eslint.md
9F88A61C-3C44-4EBF-A705-ACAB8810E904,Fix generic client instantiating real providers with test keys,done,,20250808-1545-fix-generic-client-test-keys.md
